year,geo_name,geo,income_hispanic
2015,"Lawrence County","05000US17101",53150.0
2015,"Lee County","05000US17103",40625.0
2015,"Livingston County","05000US17105",35000.0
2015,"Logan County","05000US17107",56908.0
2015,"McDonough County","05000US17109",None
2015,"McHenry County, IL","05000US17111",57853.0
2015,"McLean County, IL","05000US17113",39873.0
2015,"Macon County, IL","05000US17115",47067.0
2015,"Macoupin County","05000US17117",78409.0
2015,"Madison County, IL","05000US17119",44482.0
2015,"Marion County","05000US17121",23571.0
2015,"Marshall County","05000US17123",53802.0
2015,"Mason County","05000US17125",None
2015,"Massac County","05000US17127",83452.0
2015,"Menard County","05000US17129",None
2015,"Mercer County","05000US17131",45625.0
2015,"Monroe County","05000US17133",64417.0
2015,"Montgomery County","05000US17135",66500.0
2015,"Morgan County","05000US17137",35714.0
2015,"Moultrie County","05000US17139",35357.0
2015,"Ogle County","05000US17141",38979.0
2015,"Peoria County, IL","05000US17143",43125.0
2015,"Perry County","05000US17145",None
2015,"Piatt County","05000US17147",42292.0
2015,"Pike County","05000US17149",39844.0
2015,"Pope County","05000US17151",None
2015,"Pulaski County","05000US17153",23500.0
2015,"Putnam County","05000US17155",63125.0
2015,"Randolph County","05000US17157",68500.0
2015,"Richland County","05000US17159",31250.0
2015,"Rock Island County, IL","05000US17161",40236.0
2015,"St. Clair County, IL","05000US17163",41273.0
2015,"Saline County","05000US17165",24375.0
2015,"Sangamon County, IL","05000US17167",41054.0
2015,"Schuyler County","05000US17169",24375.0
2015,"Scott County","05000US17171",None
2015,"Shelby County","05000US17173",None
2015,"Stark County","05000US17175",60625.0
2015,"Stephenson County","05000US17177",41667.0
2015,"Tazewell County, IL","05000US17179",62118.0
2015,"Union County","05000US17181",23500.0
2015,"Vermilion County","05000US17183",35583.0
2015,"Wabash County","05000US17185",2499.0
2015,"Warren County","05000US17187",35781.0
2015,"Washington County","05000US17189",35500.0
2015,"Wayne County","05000US17191",None
2015,"White County","05000US17193",35603.0
2015,"Whiteside County","05000US17195",43133.0
2015,"Will County, IL","05000US17197",59611.0
2015,"Williamson County","05000US17199",48021.0
2015,"Winnebago County, IL","05000US17201",37495.0
2015,"Woodford County","05000US17203",65179.0
2013,"Adams County","05000US17001",61269.0
2013,"Alexander County","05000US17003",29375.0
2013,"Bond County","05000US17005",44000.0
2013,"Boone County","05000US17007",52536.0
2013,"Brown County","05000US17009",None
2013,"Bureau County","05000US17011",33043.0
2013,"Calhoun County","05000US17013",None
2013,"Carroll County","05000US17015",34773.0
2013,"Cass County","05000US17017",37138.0
