geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Autauga County, AL","county",05000US01001,0.217,0.187,0.174,4.6,5.1,3.6,53682,52475,51281,53099
"Baldwin County, AL","county",05000US01003,0.206,0.186,0.179,4.3,3.8,3.1,50221,50183,50254,51365
"Barbour County, AL","county",05000US01005,0.251,0.214,0.228,,4.5,6.8,32911,35634,32964,33956
"Bibb County, AL","county",05000US01007,0.259,0.21,0.199,7.8,7.4,8.2,36447,37984,38678,39776
"Blount County, AL","county",05000US01009,0.213,0.194,0.21,4.3,3.3,5.7,44145,44409,45813,46212
"Bullock County, AL","county",05000US01011,0.378,0.223,0.228,,,,32033,34804,31938,29335
"Butler County, AL","county",05000US01013,0.305,0.228,0.218,8.2,10.2,13.2,29918,31571,32229,34315
"Calhoun County, AL","county",05000US01015,0.244,0.238,0.203,12,10.8,9.3,39962,40919,41703,41954
"Chambers County, AL","county",05000US01017,0.241,0.208,0.209,9.7,9.9,8.8,32402,32835,34177,36027
"Cherokee County, AL","county",05000US01019,0.244,0.198,0.184,,,6,34907,34983,36296,38925
"Chilton County, AL","county",05000US01021,0.201,0.212,0.201,6.2,7.5,7.2,41250,41785,41627,42594
"Choctaw County, AL","county",05000US01023,0.199,0.19,0.205,,,11.6,33941,34325,33536,32622
"Clarke County, AL","county",05000US01025,0.137,0.212,0.201,7.5,6.4,6.2,29357,30951,32011,32735
"Clay County, AL","county",05000US01027,0.262,0.204,0.191,,,,34002,35286,35327,38815
"Cleburne County, AL","county",05000US01029,0.189,0.185,0.183,,,,38019,37008,38056,36316
"Coffee County, AL","county",05000US01031,0.177,0.193,0.186,3.5,3.2,,43768,45558,46729,47872
"Colbert County, AL","county",05000US01033,0.296,0.185,0.204,5.3,5.2,3.9,39077,39914,40576,43786
"Conecuh County, AL","county",05000US01035,0.229,0.238,0.229,,,,24658,24433,24900,27609
"Coosa County, AL","county",05000US01037,0.3,0.218,0.203,,,,37277,32340,31212,31910
"Covington County, AL","county",05000US01039,0.287,0.199,0.186,,,,35869,36256,36444,37313
"Crenshaw County, AL","county",05000US01041,0.166,0.204,0.19,,,,36275,37349,36022,37557
"Cullman County, AL","county",05000US01043,0.22,0.201,0.18,2.8,3.2,3,38847,39415,38971,39297
"Dale County, AL","county",05000US01045,0.212,0.202,0.191,7.3,7.8,7.7,44889,44473,45028,44093
"Dallas County, AL","county",05000US01047,0.206,0.254,0.227,20.6,24,25.1,26519,26494,27306,28136
"DeKalb County, AL","county",05000US01049,0.18,0.192,0.216,3.3,3.3,5.2,37851,37977,38192,38248
"Elmore County, AL","county",05000US01051,0.214,0.193,0.185,7.8,7.6,6.8,54766,54159,53555,53398
"Escambia County, AL","county",05000US01053,0.209,0.227,0.211,11.4,12,11.3,30687,31422,32330,32334
"Etowah County, AL","county",05000US01055,0.26,0.223,0.192,7.5,7.2,5.8,38013,38467,39220,40478
"Fayette County, AL","county",05000US01057,0.141,0.205,0.198,,,,33838,33144,34680,36205
"Franklin County, AL","county",05000US01059,0.245,0.197,0.202,,,,36415,35450,35372,36138
"Geneva County, AL","county",05000US01061,0.325,0.219,0.215,8.1,9.7,10.1,35625,36268,36024,36519
"Greene County, AL","county",05000US01063,0.181,0.265,0.263,20.8,,,24226,22170,20541,21339
"Hale County, AL","county",05000US01065,,0.218,0.221,13.3,12.1,,30051,30839,32714,33351
"Henry County, AL","county",05000US01067,0.17,0.175,0.18,10.7,12.8,,41650,42926,41997,41045
"Houston County, AL","county",05000US01069,0.184,0.194,0.198,4.3,4.3,4.2,40948,41077,41571,41945
"Jackson County, AL","county",05000US01071,0.221,0.202,0.185,4.2,3.8,3.5,37634,36874,37745,38422
"Jefferson County, AL","county",05000US01073,0.212,0.168,0.194,17,16.1,15,45429,45239,45610,47220
"Lamar County, AL","county",05000US01075,0.261,0.214,0.201,,,,36028,36021,35450,34298
"Lauderdale County, AL","county",05000US01077,0.177,0.189,0.182,6.2,6,5.7,42844,42703,43125,43657
"Lawrence County, AL","county",05000US01079,0.278,0.203,0.203,4.7,4.4,5.5,38551,40356,40003,42339
"Lee County, AL","county",05000US01081,0.183,0.203,0.192,6.5,5.9,6,43542,43641,44570,45056
"Limestone County, AL","county",05000US01083,0.219,0.186,0.18,4.9,3.8,4.1,48619,49461,49570,51115
"Lowndes County, AL","county",05000US01085,0.226,0.231,0.225,23.4,23.3,17,26230,25678,25876,27914
"Macon County, AL","county",05000US01087,0.138,0.235,0.221,31.4,29.8,27.4,30724,30254,30738,32390
"Madison County, AL","county",05000US01089,0.183,0.202,0.169,5.5,6.1,6,58434,58203,57993,60150
"Marengo County, AL","county",05000US01091,0.168,0.22,0.195,,,,35079,33714,32042,30713
"Marion County, AL","county",05000US01093,0.269,0.203,0.193,,,,32888,33819,32299,34074
"Marshall County, AL","county",05000US01095,0.277,0.204,0.19,3.2,3.3,3.3,39526,39473,38983,39831
"Mobile County, AL","county",05000US01097,0.238,0.205,0.216,15.2,15,13.2,43028,43844,43809,44263
"Monroe County, AL","county",05000US01099,0.207,0.219,0.212,9.5,11.5,8.9,29203,30569,27257,28182
"Montgomery County, AL","county",05000US01101,0.192,0.197,0.209,14.6,15.6,16.9,44790,44830,44369,45358
"Morgan County, AL","county",05000US01103,0.239,0.185,0.185,3.6,3.7,4.4,44800,45341,45751,46883
"Perry County, AL","county",05000US01105,0.259,0.246,0.229,15.3,,,28209,25528,24537,24912
"Pickens County, AL","county",05000US01107,0.181,0.216,0.209,,,,28741,29839,30330,31679
"Pike County, AL","county",05000US01109,0.183,0.223,0.203,6.2,7.9,7.8,33090,32798,32825,33193
"Randolph County, AL","county",05000US01111,0.281,0.201,0.187,9.4,8.4,8.8,35213,36498,36924,37496
"Russell County, AL","county",05000US01113,0.239,0.212,0.22,12.6,12,9.6,36143,36066,37049,38400
"St. Clair County, AL","county",05000US01115,0.272,0.198,0.18,5.3,5.4,5.4,50786,51317,51859,54042
"Shelby County, AL","county",05000US01117,0.18,0.155,0.14,3.6,3.2,3.5,68770,69723,70187,72310
"Sumter County, AL","county",05000US01119,0.17,0.241,0.237,,12.2,,22186,22865,19501,20428
"Talladega County, AL","county",05000US01121,0.231,0.218,0.216,9.2,9.2,9.6,35439,35896,35155,37923
"Tallapoosa County, AL","county",05000US01123,0.267,0.208,0.192,8.4,9.1,6.9,39130,38644,39206,39395
"Tuscaloosa County, AL","county",05000US01125,0.217,0.204,0.197,8.3,7.4,6.4,45408,46448,46565,48022
"Walker County, AL","county",05000US01127,0.277,0.218,0.207,6.5,6.9,6.2,37566,36712,35843,37025
"Washington County, AL","county",05000US01129,0.195,0.2,0.186,8,,,42156,44731,42811,40293
"Wilcox County, AL","county",05000US01131,0.189,0.252,0.242,14.8,18.4,13.8,23642,23406,23750,24442
"Winston County, AL","county",05000US01133,0.228,0.216,0.19,,5.2,5.9,32900,34064,33194,33896
"Aleutians East Borough, AK","county",05000US02013,0.382,0.202,0.192,,,,61250,59886,61518,65926
"Aleutians West Census Area, AK","county",05000US02016,0.267,0.18,0.166,,,,81853,82284,84306,86964
"Anchorage Municipality, AK","county",05000US02020,0.157,0.16,0.153,5.6,5.6,6,77454,78121,78326,80862
"Bethel Census Area, AK","county",05000US02050,0.299,0.343,0.312,18.3,12.4,12.2,51689,51930,51012,53296
"Bristol Bay Borough, AK","county",05000US02060,0.264,0.212,0.197,,,,79531,82500,79750,88000
"Denali Borough, AK","county",05000US02068,0.214,0.178,0.174,,,,72500,79167,81544,81302
"Dillingham Census Area, AK","county",05000US02070,0.386,0.32,0.295,,,,54150,54846,54173,56055
"Fairbanks North Star Borough, AK","county",05000US02090,0.194,0.162,0.163,4.3,3.8,4.9,69223,70408,71068,73831
"Haines Borough, AK","county",05000US02100,0.141,0.181,0.172,,,,52866,57551,58750,53125
"Hoonah-Angoon Census Area, AK","county",05000US02105,,,,,,,49545,50268,52419,54091
"Juneau City and Borough, AK","county",05000US02110,0.175,0.171,0.159,,,,81490,84750,85746,87436
"Kenai Peninsula Borough, AK","county",05000US02122,0.212,0.195,0.184,2.7,3.4,2.8,61793,63099,63684,64891
"Ketchikan Gateway Borough, AK","county",05000US02130,0.225,0.197,0.185,,,,62519,61712,64222,64162
"Kodiak Island Borough, AK","county",05000US02150,0.198,0.169,0.164,,,,68718,70529,70887,73068
"Kusilvak County, AK","county",05000US02158,,,,,,,,,38229,38160
"Lake and Peninsula Borough, AK","county",05000US02164,0.252,0.308,0.294,,,,51786,47143,50781,43864
"Matanuska-Susitna Borough, AK","county",05000US02170,0.262,0.212,0.172,4.8,5.5,6.3,71037,72134,72983,73908
"Nome Census Area, AK","county",05000US02180,0.401,0.353,0.328,,,,49974,47579,48868,51563
"North Slope Borough, AK","county",05000US02185,0.453,0.254,0.234,,,,80761,74609,72576,72027
"Northwest Arctic Borough, AK","county",05000US02188,0.482,0.352,0.307,,,,61607,63971,63648,61341
"Petersburg Census Area, AK","county",05000US02195,,,,,,,63934,61492,67935,63940
"Prince of Wales-Hyder Census Area, AK","county",05000US02198,,,,,,,46071,46387,48523,51887
,,05000US02201,0.312,0.251,,,,,,,,
"Sitka City and Borough, AK","county",05000US02220,0.213,0.184,0.177,,,,69405,69635,70376,70160
"Skagway Municipality, AK","county",05000US02230,,,,,,,71667,72868,69318,64853
,,05000US02232,0.227,0.213,,,,,,,,
"Southeast Fairbanks Census Area, AK","county",05000US02240,0.216,0.202,0.18,,,,56801,65481,62670,63713
"Valdez-Cordova Census Area, AK","county",05000US02261,0.232,0.191,0.188,,,,74878,81736,78810,82511
"Wade Hampton Census Area, AK","county",05000US02270,0.361,0.41,,24.2,32.5,,40176,40943,,
"Wrangell City and Borough, AK","county",05000US02275,,,,,,,45841,48324,48603,52986
,,05000US02280,0.187,0.187,,,,,,,,
"Yakutat City and Borough, AK","county",05000US02282,,0.205,0.203,,,,72500,69306,72500,66875
"Yukon-Koyukuk Census Area, AK","county",05000US02290,0.405,0.323,0.315,,,,34710,37796,38491,38451
"Apache County, AZ","county",05000US04001,0.184,0.256,0.296,14.7,14.8,13.9,31476,32396,31757,32460
"Cochise County, AZ","county",05000US04003,0.217,0.16,0.165,5.3,5.7,5.4,45755,45974,45075,45383
"Coconino County, AZ","county",05000US04005,0.152,0.198,0.183,7.2,6.9,6,49555,48540,50234,51106
"Gila County, AZ","county",05000US04007,0.244,0.18,0.179,9.8,9.9,7,39954,40042,39751,40593
"Graham County, AZ","county",05000US04009,0.163,0.184,0.192,4.9,4.7,4.6,44943,46965,45964,47422
"Greenlee County, AZ","county",05000US04011,0.198,0.172,0.156,,,,47992,50818,51628,51813
"La Paz County, AZ","county",05000US04012,0.185,0.16,0.154,11.2,12.2,9.1,35776,37009,34466,36321
"Maricopa County, AZ","county",05000US04013,0.158,0.151,0.13,7,6.4,5.5,53596,53689,54229,55676
"Mohave County, AZ","county",05000US04015,0.269,0.2,0.188,8,7.5,5.6,39200,38456,38488,39856
"Navajo County, AZ","county",05000US04017,0.168,0.234,0.237,12.2,12.7,10.9,36927,36591,35921,36868
"Pima County, AZ","county",05000US04019,0.156,0.146,0.134,8.1,7.8,6.4,45841,46233,46162,46764
"Pinal County, AZ","county",05000US04021,0.173,0.17,0.16,6.2,5.9,5.3,50027,50248,49477,51190
"Santa Cruz County, AZ","county",05000US04023,0.173,0.154,0.159,4.9,4.4,3.3,37745,38802,40140,38941
"Yavapai County, AZ","county",05000US04025,0.193,0.147,0.144,4.8,4.7,4.2,42987,44000,44748,46638
"Yuma County, AZ","county",05000US04027,0.14,0.149,0.148,3.8,3.6,3.3,41595,41380,40743,41467
"Arkansas County, AR","county",05000US05001,0.22,0.224,0.205,9.6,12.9,11.4,39633,37813,36411,37330
"Ashley County, AR","county",05000US05003,0.299,0.244,0.211,8.5,8.6,6.7,35683,35136,34263,36352
"Baxter County, AR","county",05000US05005,0.239,0.201,0.19,,,3.5,35343,35594,35396,38115
"Benton County, AR","county",05000US05007,0.168,0.187,0.163,2.2,2.1,2,54515,56325,56239,59016
"Boone County, AR","county",05000US05009,0.146,0.217,0.192,7.5,4.9,5.8,38506,38705,39251,38664
"Bradley County, AR","county",05000US05011,0.141,0.25,0.225,,,,30409,33745,33701,34665
"Calhoun County, AR","county",05000US05013,0.35,0.223,0.21,,,,30980,35000,36899,35446
"Carroll County, AR","county",05000US05015,0.239,0.202,0.189,,,,36584,36897,36897,38145
"Chicot County, AR","county",05000US05017,0.362,0.266,0.234,17.2,17.8,,26201,28086,28913,29628
"Clark County, AR","county",05000US05019,0.119,0.232,0.199,12.3,12.1,8.8,32721,34109,35031,35595
"Clay County, AR","county",05000US05021,0.21,0.227,0.21,,,,31502,32057,32552,32404
"Cleburne County, AR","county",05000US05023,0.284,0.199,0.182,,,,40246,40768,42905,41717
"Cleveland County, AR","county",05000US05025,0.217,0.195,0.192,,,,39420,41586,43158,42429
"Columbia County, AR","county",05000US05027,0.159,0.237,0.205,8,7,6.5,35128,37509,36619,36507
"Conway County, AR","county",05000US05029,0.277,0.223,0.201,8.3,7.8,6.7,35225,37314,37732,38266
"Craighead County, AR","county",05000US05031,0.183,0.241,0.208,4.7,4.2,4.9,41393,42085,42475,43892
"Crawford County, AR","county",05000US05033,0.222,0.215,0.208,4.5,4.9,4.9,39479,40712,41268,41792
"Crittenden County, AR","county",05000US05035,0.236,0.261,0.235,12.7,13.3,12.5,37751,37781,38004,39407
"Cross County, AR","county",05000US05037,0.338,0.231,0.218,,9.1,10.5,38085,37725,38103,39306
"Dallas County, AR","county",05000US05039,,0.222,0.199,,,,28931,32554,34084,35745
"Desha County, AR","county",05000US05041,0.239,0.253,0.237,14.6,13.8,14.7,28680,28457,27197,26519
"Drew County, AR","county",05000US05043,0.181,0.249,0.225,,,7.7,31171,32351,32819,33092
"Faulkner County, AR","county",05000US05045,0.18,0.217,0.184,3.8,3.9,4.4,50314,51095,51223,50872
"Franklin County, AR","county",05000US05047,0.277,0.229,0.206,,,,36766,39879,39285,39482
"Fulton County, AR","county",05000US05049,0.292,0.21,0.195,,,,35522,36244,37066,35593
"Garland County, AR","county",05000US05051,0.277,0.232,0.204,10,10.6,9.6,39162,39558,38733,40011
"Grant County, AR","county",05000US05053,0.39,0.196,0.181,,,,49004,46074,46171,49195
"Greene County, AR","county",05000US05055,0.177,0.227,0.198,6.8,6.1,5.3,38413,39500,41286,42755
"Hempstead County, AR","county",05000US05057,0.187,0.261,0.226,8.5,9,6.4,32056,32587,32122,34072
"Hot Spring County, AR","county",05000US05059,0.278,0.212,0.201,5.7,6.2,6.9,41193,41353,40000,42589
"Howard County, AR","county",05000US05061,0.203,0.246,0.214,,,,35879,38050,34229,34672
"Independence County, AR","county",05000US05063,0.232,0.233,0.207,6.3,7.3,5.4,35026,36186,36265,37592
"Izard County, AR","county",05000US05065,0.257,0.215,0.191,,,,30661,31219,32630,35188
"Jackson County, AR","county",05000US05067,0.27,0.25,0.221,,8.9,8.9,30284,31512,31261,31245
"Jefferson County, AR","county",05000US05069,0.249,0.262,0.214,22.2,22.7,22,37140,36799,36747,36377
"Johnson County, AR","county",05000US05071,0.244,0.243,0.22,,,,31003,32553,34139,34031
"Lafayette County, AR","county",05000US05073,,0.248,0.205,,,,29732,31215,31194,29882
"Lawrence County, AR","county",05000US05075,0.163,0.243,0.224,,,,32239,33481,32379,33381
"Lee County, AR","county",05000US05077,0.184,0.283,0.249,29.8,27.6,21.1,25034,26986,28393,25724
"Lincoln County, AR","county",05000US05079,0.246,0.257,0.225,,10.9,,32697,32615,32580,32369
"Little River County, AR","county",05000US05081,0.222,0.212,0.195,,,,39673,39494,36205,35396
"Logan County, AR","county",05000US05083,0.251,0.211,0.202,,,,34996,36062,35325,36463
"Lonoke County, AR","county",05000US05085,0.206,0.207,0.197,5.7,5.5,4.9,52582,52805,53631,56156
"Madison County, AR","county",05000US05087,0.304,0.234,0.216,,,,35771,37351,37691,39839
"Marion County, AR","county",05000US05089,0.242,0.225,0.205,,,,34494,33293,34195,33726
"Miller County, AR","county",05000US05091,0.328,0.229,0.207,6.1,5.9,6.6,41319,40829,40317,39955
"Mississippi County, AR","county",05000US05093,0.295,0.256,0.241,16.1,18.2,17.6,36428,34424,34612,35003
"Monroe County, AR","county",05000US05095,0.368,0.258,0.248,,,,27263,27571,27647,31541
"Montgomery County, AR","county",05000US05097,0.201,0.212,0.187,,,,31345,32293,33037,35103
"Nevada County, AR","county",05000US05099,0.349,0.268,0.24,,,,33694,31614,30691,30750
"Newton County, AR","county",05000US05101,0.392,0.223,0.204,,,,30038,32500,34536,33176
"Ouachita County, AR","county",05000US05103,0.233,0.233,0.212,12.9,10.4,9,32015,32220,31293,31233
"Perry County, AR","county",05000US05105,0.324,0.219,0.202,,,,42455,42030,42346,45819
"Phillips County, AR","county",05000US05107,0.242,0.273,0.261,36.9,38.7,34.3,26737,27183,26844,26829
"Pike County, AR","county",05000US05109,0.203,0.226,0.202,,,,32206,32045,33097,34519
"Poinsett County, AR","county",05000US05111,0.194,0.253,0.237,9.6,9,7.6,32089,33238,33070,35163
"Polk County, AR","county",05000US05113,0.284,0.232,0.214,,,,32835,33558,33702,33202
"Pope County, AR","county",05000US05115,0.228,0.213,0.204,3.1,3,3.4,40453,40818,39810,40534
"Prairie County, AR","county",05000US05117,0.268,0.223,0.199,,,,34855,36904,35833,37500
"Pulaski County, AR","county",05000US05119,0.192,0.202,0.185,15.9,14.7,13.7,46013,46410,46140,47101
"Randolph County, AR","county",05000US05121,0.192,0.221,0.203,,,,34418,36487,34044,36318
"St. Francis County, AR","county",05000US05123,0.218,0.28,0.239,11.9,13.4,18.1,30873,31336,32105,35066
"Saline County, AR","county",05000US05125,0.23,0.187,0.176,4.4,4.2,3.1,55348,55697,55817,57632
"Scott County, AR","county",05000US05127,0.317,0.225,0.207,,,,37448,36754,37321,37861
"Searcy County, AR","county",05000US05129,0.201,0.232,0.208,,,,30779,33610,33083,35542
"Sebastian County, AR","county",05000US05131,0.214,0.226,0.184,5.1,4.8,5,40471,39208,38575,40023
"Sevier County, AR","county",05000US05133,0.224,0.234,0.213,,,,35153,36218,36579,38956
"Sharp County, AR","county",05000US05135,0.311,0.225,0.211,,,,30861,30826,30691,31068
"Stone County, AR","county",05000US05137,0.265,0.236,0.205,,,,29832,29982,29264,30486
"Union County, AR","county",05000US05139,0.263,0.229,0.203,13.3,12.1,10.8,37435,38762,38678,39836
"Van Buren County, AR","county",05000US05141,0.312,0.225,0.207,,,,32517,31030,32312,34576
"Washington County, AR","county",05000US05143,0.2,0.232,0.209,2,2,2.5,41248,41983,43524,45442
"White County, AR","county",05000US05145,0.175,0.226,0.189,4.6,5.2,5.1,42487,42852,42554,42197
"Woodruff County, AR","county",05000US05147,0.221,0.245,0.217,,,,28259,27165,28993,30383
"Yell County, AR","county",05000US05149,0.231,0.227,0.199,,,,35535,37378,37804,39323
"Alameda County, CA","county",05000US06001,0.106,0.106,0.099,9.4,8.7,7.7,72112,73775,75619,79831
"Alpine County, CA","county",05000US06003,,0.157,0.156,,,,58636,61343,52917,62375
"Amador County, CA","county",05000US06005,0.212,0.126,0.115,,3.4,5,53684,52964,54171,57032
"Butte County, CA","county",05000US06007,0.192,0.15,0.145,4.5,4.1,3.9,43752,43165,43444,44366
"Calaveras County, CA","county",05000US06009,0.191,0.116,0.117,,3.6,3.2,55295,54936,53233,53502
"Colusa County, CA","county",05000US06011,,0.143,0.13,,,,52158,50503,52168,54946
"Contra Costa County, CA","county",05000US06013,0.116,0.11,0.106,8.8,8.3,6.8,78756,79799,80185,82881
"Del Norte County, CA","county",05000US06015,0.203,0.161,0.154,8,7.5,7.1,37909,39302,40847,42363
"El Dorado County, CA","county",05000US06017,0.143,0.116,0.113,3,2.9,2.4,69297,68507,69584,72586
"Fresno County, CA","county",05000US06019,0.139,0.134,0.136,7.6,7.3,7.1,45563,45201,45233,45963
"Glenn County, CA","county",05000US06021,0.15,0.147,0.143,,,,43023,40106,39349,41699
"Humboldt County, CA","county",05000US06023,0.186,0.152,0.159,3.7,4.3,5.8,41426,42153,42197,42685
"Imperial County, CA","county",05000US06025,0.124,0.144,0.138,3.2,2.9,2.1,41807,41772,41079,42560
"Inyo County, CA","county",05000US06027,,0.13,0.123,,,,44796,45625,45955,47278
"Kern County, CA","county",05000US06029,0.16,0.167,0.146,8.2,8.3,8.7,48552,48574,49026,49788
"Kings County, CA","county",05000US06031,0.125,0.155,0.152,4.8,5.2,5,48133,47341,46481,47241
"Lake County, CA","county",05000US06033,0.245,0.153,0.15,7.2,8.2,9.1,36548,35997,35578,36132
"Lassen County, CA","county",05000US06035,0.181,0.148,0.141,4.4,5.5,6.4,53107,53351,51555,51457
"Los Angeles County, CA","county",05000US06037,0.123,0.124,0.117,7.2,6.6,6.1,55909,55870,56196,57952
"Madera County, CA","county",05000US06039,0.138,0.157,0.15,5.2,6,5.2,45625,45490,45073,45742
"Marin County, CA","county",05000US06041,0.097,0.105,0.1,1.7,1.6,1.8,90839,91529,93257,100310
"Mariposa County, CA","county",05000US06043,0.204,0.127,0.122,,,,49820,50560,47681,49265
"Mendocino County, CA","county",05000US06045,0.182,0.15,0.134,6.3,5.9,5.2,43469,43290,42980,43510
"Merced County, CA","county",05000US06047,0.117,0.156,0.153,7.6,8.2,9.2,42591,43066,42462,44397
"Modoc County, CA","county",05000US06049,,0.144,0.14,,,,36212,38560,37860,41194
"Mono County, CA","county",05000US06051,,0.136,0.129,,,,61757,61814,56944,58937
"Monterey County, CA","county",05000US06053,0.125,0.136,0.112,8.6,9.4,10.6,59168,58582,58783,60889
"Napa County, CA","county",05000US06055,0.085,0.112,0.117,1.4,1.3,1,70443,70925,71379,74609
"Nevada County, CA","county",05000US06057,0.141,0.117,0.12,2.3,2.1,1.4,57353,56949,56521,57429
"Orange County, CA","county",05000US06059,0.109,0.111,0.103,2.4,2.2,2,75422,75998,76509,78145
"Placer County, CA","county",05000US06061,0.081,0.114,0.101,1.8,1.9,1.8,72725,73747,73948,76926
"Plumas County, CA","county",05000US06063,0.144,0.133,0.126,,,,45794,48032,47333,50125
"Riverside County, CA","county",05000US06065,0.146,0.141,0.134,4.5,4.4,4,56529,56592,56603,57972
"Sacramento County, CA","county",05000US06067,0.146,0.15,0.129,6.3,6,6,55064,55615,55987,57509
"San Benito County, CA","county",05000US06069,,0.124,0.115,5,5.7,4,66237,67874,71077,73814
"San Bernardino County, CA","county",05000US06071,0.162,0.141,0.142,6.5,6.3,5.8,54090,54100,53433,54469
"San Diego County, CA","county",05000US06073,0.121,0.118,0.108,3.1,2.9,2.8,62962,63996,64309,66529
"San Francisco County, CA","county",05000US06075,0.095,0.115,0.099,7.2,6.3,5.2,75604,78378,81294,87701
"San Joaquin County, CA","county",05000US06077,0.164,0.139,0.132,9.4,9.3,10.2,53380,53253,53274,55045
"San Luis Obispo County, CA","county",05000US06079,0.091,0.124,0.119,2.2,2,1.8,58697,59454,60691,64014
"San Mateo County, CA","county",05000US06081,0.105,0.093,0.087,3.3,3.1,2.5,88202,91421,93623,98546
"Santa Barbara County, CA","county",05000US06083,0.105,0.124,0.115,2.6,2.4,2.8,62779,63409,63985,65161
"Santa Clara County, CA","county",05000US06085,0.103,0.09,0.084,2.6,2.7,2.6,91702,93854,96310,101173
"Santa Cruz County, CA","county",05000US06087,0.101,0.131,0.115,3.7,3.7,4,66519,66923,67256,70088
"Shasta County, CA","county",05000US06089,0.251,0.141,0.137,4.5,4.3,4.2,44651,44556,44620,45582
"Sierra County, CA","county",05000US06091,,0.125,0.121,,,,39009,43107,42833,43984
"Siskiyou County, CA","county",05000US06093,0.238,0.152,0.143,4.5,4.7,4.2,37709,37495,37170,38524
"Solano County, CA","county",05000US06095,0.135,0.124,0.116,8.2,8.6,8,67177,67341,66828,69227
"Sonoma County, CA","county",05000US06097,0.14,0.116,0.116,2.4,2.2,2.2,63356,63799,64240,66833
"Stanislaus County, CA","county",05000US06099,0.171,0.145,0.144,6.5,6.3,6.5,49297,49573,50125,51591
"Sutter County, CA","county",05000US06101,0.187,0.134,0.124,4.8,5,3.7,50408,51527,52017,52943
"Tehama County, CA","county",05000US06103,0.211,0.152,0.139,5.9,5.7,5.2,41924,42369,41001,40687
"Trinity County, CA","county",05000US06105,0.234,0.149,0.145,,,10.6,36890,36862,34974,35270
"Tulare County, CA","county",05000US06107,0.145,0.154,0.144,8.7,8.5,8.4,42708,42863,42031,42789
"Tuolumne County, CA","county",05000US06109,0.191,0.133,0.131,,,,48426,48493,50306,50731
"Ventura County, CA","county",05000US06111,0.121,0.112,0.099,2.8,2.8,2.8,76544,77335,77348,78593
"Yolo County, CA","county",05000US06113,0.081,0.124,0.119,1.6,1.9,2.2,55918,55508,54989,57663
"Yuba County, CA","county",05000US06115,0.172,0.15,0.154,5.2,4.7,5.3,44902,45470,46892,48739
"Adams County, CO","county",05000US08001,0.216,0.181,0.171,4.4,4.4,4.5,56270,57421,58946,61444
"Alamosa County, CO","county",05000US08003,0.173,0.166,0.184,,,,34520,31400,32395,32385
"Arapahoe County, CO","county",05000US08005,0.154,0.139,0.149,3.7,3.8,4,60651,62213,63265,66288
"Archuleta County, CO","county",05000US08007,0.204,0.141,0.142,,,,48933,48186,46646,45607
"Baca County, CO","county",05000US08009,,0.148,0.165,,,,38829,38625,38000,37477
"Bent County, CO","county",05000US08011,0.267,0.174,0.194,,,,37340,39053,36791,34773
"Boulder County, CO","county",05000US08013,0.115,0.109,0.125,1.2,1.3,1.4,67956,69407,70961,72282
"Broomfield County, CO","county",05000US08014,0.126,0.123,0.125,3.5,3.6,3.1,77998,80430,81898,83334
"Chaffee County, CO","county",05000US08015,0.203,0.142,0.14,,,,46504,48528,51092,50993
"Cheyenne County, CO","county",05000US08017,,0.129,0.137,,,,51641,53900,52554,54375
"Clear Creek County, CO","county",05000US08019,0.186,0.129,0.133,,,,67259,68531,67710,68250
"Conejos County, CO","county",05000US08021,0.21,0.154,0.163,,,,34526,37357,36652,34630
"Costilla County, CO","county",05000US08023,0.19,0.155,0.158,,,,29145,33594,31321,26610
"Crowley County, CO","county",05000US08025,0.155,0.206,0.23,,,,31477,31534,31151,31719
"Custer County, CO","county",05000US08027,0.154,0.155,0.154,,,,32427,32261,35000,38605
"Delta County, CO","county",05000US08029,0.237,0.143,0.15,5,5,,42078,42389,42452,42011
"Denver County, CO","county",05000US08031,0.195,0.164,0.171,7.3,6.6,6.1,50313,51800,53637,56258
"Dolores County, CO","county",05000US08033,0.115,0.17,0.176,,,,37750,32578,31875,32240
"Douglas County, CO","county",05000US08035,0.083,0.098,0.103,1.5,1.3,1,101591,102626,102964,105759
"Eagle County, CO","county",05000US08037,0.095,0.136,0.131,,,,74456,73774,72214,78763
"Elbert County, CO","county",05000US08039,0.152,0.129,0.131,,,,82118,82154,84963,87288
"El Paso County, CO","county",05000US08041,0.178,0.154,0.157,4.4,4.9,4.8,57125,57487,58206,60219
"Fremont County, CO","county",05000US08043,0.27,0.159,0.195,4.5,4.5,4.6,39943,40569,40423,42308
"Garfield County, CO","county",05000US08045,0.184,0.161,0.141,,,,57022,57214,56590,61300
"Gilpin County, CO","county",05000US08047,0.169,0.148,0.142,,,,63885,65851,65670,67544
"Grand County, CO","county",05000US08049,0.219,0.152,0.151,,,,64664,64109,63628,67623
"Gunnison County, CO","county",05000US08051,0.138,0.164,0.162,,,,52332,51371,48071,50746
"Hinsdale County, CO","county",05000US08053,,0.134,0.128,,,,56667,55682,57083,51250
"Huerfano County, CO","county",05000US08055,0.309,0.143,0.147,,,,33298,32932,31715,33257
"Jackson County, CO","county",05000US08057,,0.154,0.145,,,,43606,45606,46014,45053
