geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Dickinson County, KS","county",05000US20041,0.197,0.175,0.178,,,,48890,50123,49096,48093
"Doniphan County, KS","county",05000US20043,0.167,0.168,0.181,,,,46512,48659,47209,49375
"Douglas County, KS","county",05000US20045,0.156,0.167,0.154,,,1.8,49508,50732,50939,52698
"Edwards County, KS","county",05000US20047,,0.161,0.165,,,,46551,47101,47303,48684
"Elk County, KS","county",05000US20049,0.159,0.167,0.165,,,,34089,38182,36458,37393
"Ellis County, KS","county",05000US20051,0.151,0.196,0.164,,,,43085,45127,45579,50140
"Ellsworth County, KS","county",05000US20053,0.124,0.172,0.158,,,,45865,45417,47736,49134
"Finney County, KS","county",05000US20055,0.209,0.182,0.172,4,,4.6,47945,47994,49227,50712
"Ford County, KS","county",05000US20057,0.17,0.185,0.178,,,4.6,51178,51374,50777,49688
"Franklin County, KS","county",05000US20059,0.219,0.179,0.194,,,,49543,50415,51081,51465
"Geary County, KS","county",05000US20061,0.255,0.203,0.22,6.5,7.1,6,46908,45660,43992,45243
"Gove County, KS","county",05000US20063,,0.149,0.156,,,,44866,48276,46364,46681
"Graham County, KS","county",05000US20065,0.172,0.154,0.156,,,,47500,45192,43826,45982
"Grant County, KS","county",05000US20067,0.164,0.178,0.159,,,,53213,54478,55432,54919
"Gray County, KS","county",05000US20069,0.137,0.155,0.153,,,,57808,58656,61000,59629
"Greeley County, KS","county",05000US20071,,0.154,0.148,,,,52847,51023,47750,47000
"Greenwood County, KS","county",05000US20073,0.214,0.188,0.168,,,,38346,39286,38838,39671
"Hamilton County, KS","county",05000US20075,,0.189,0.186,,,,43357,44274,45114,48523
"Harper County, KS","county",05000US20077,0.229,0.177,0.181,,,,38313,41332,43973,46886
"Harvey County, KS","county",05000US20079,0.1,0.157,0.147,,,,50287,49576,51327,52463
"Haskell County, KS","county",05000US20081,0.239,0.174,0.17,,,,52415,55742,56484,55453
"Hodgeman County, KS","county",05000US20083,,0.147,0.136,,,,52375,53190,54856,56250
"Jackson County, KS","county",05000US20085,0.269,0.16,0.163,,,,54546,55296,54077,54700
"Jefferson County, KS","county",05000US20087,0.186,0.156,0.165,,,,56875,56531,57236,56777
"Jewell County, KS","county",05000US20089,0.101,0.157,0.164,,,,39884,41042,40553,37750
"Johnson County, KS","county",05000US20091,0.126,0.125,0.11,1.6,1.7,1.7,74717,75017,76113,78186
"Kearny County, KS","county",05000US20093,0.177,0.166,0.164,,,,52264,54732,50506,49396
"Kingman County, KS","county",05000US20095,0.148,0.165,0.164,,,,47466,50000,50844,56142
"Kiowa County, KS","county",05000US20097,,0.177,0.171,,,,44650,41211,43963,44896
"Labette County, KS","county",05000US20099,0.212,0.202,0.203,,,,40916,41434,41439,41851
"Lane County, KS","county",05000US20101,,0.148,0.154,,,,53021,54292,56507,58077
"Leavenworth County, KS","county",05000US20103,0.183,0.182,0.18,3.4,3.7,3.7,63435,64909,63726,66046
"Lincoln County, KS","county",05000US20105,0.118,0.164,0.168,,,,40811,43487,44276,49583
"Linn County, KS","county",05000US20107,0.227,0.171,0.181,,,,45519,46448,46964,45790
"Logan County, KS","county",05000US20109,0.243,0.151,0.158,,,,41765,47073,46875,48205
"Lyon County, KS","county",05000US20111,0.155,0.205,0.172,,,,38981,40427,40021,40611
"McPherson County, KS","county",05000US20113,0.139,0.15,0.136,,,,54167,55437,56128,56783
"Marion County, KS","county",05000US20115,0.183,0.156,0.149,,,,45830,45964,45927,47926
"Marshall County, KS","county",05000US20117,0.191,0.168,0.165,,,,44032,44615,45374,47532
"Meade County, KS","county",05000US20119,0.215,0.15,0.152,,,,51000,51326,52250,52960
"Miami County, KS","county",05000US20121,0.147,0.161,0.169,,,,58936,60622,60966,63353
"Mitchell County, KS","county",05000US20123,0.142,0.149,0.15,,,,46667,46836,48217,49755
"Montgomery County, KS","county",05000US20125,0.229,0.196,0.202,5.1,4.8,4.1,39669,40716,41083,42646
"Morris County, KS","county",05000US20127,0.139,0.156,0.152,,,,47445,48072,47089,48551
"Morton County, KS","county",05000US20129,0.274,0.166,0.164,,,,46607,45638,46028,44100
