year,geo_name,geo,income_white
2015,"Kendall County, IL","05000US17093",86339.0
2015,"Knox County","05000US17095",41632.0
2015,"Lake County, IL","05000US17097",80823.0
2015,"LaSalle County, IL","05000US17099",51022.0
2015,"Lawrence County","05000US17101",41069.0
2015,"Lee County","05000US17103",52653.0
2015,"Livingston County","05000US17105",54268.0
2015,"Logan County","05000US17107",53480.0
2015,"McDonough County","05000US17109",40744.0
2015,"McHenry County, IL","05000US17111",77649.0
2015,"McLean County, IL","05000US17113",64586.0
2015,"Macon County, IL","05000US17115",51454.0
2015,"Macoupin County","05000US17117",51102.0
2015,"Madison County, IL","05000US17119",55845.0
2015,"Marion County","05000US17121",43310.0
2015,"Marshall County","05000US17123",53658.0
2015,"Mason County","05000US17125",41624.0
2015,"Massac County","05000US17127",42512.0
2015,"Menard County","05000US17129",60425.0
2015,"Mercer County","05000US17131",54468.0
2015,"Monroe County","05000US17133",71255.0
2015,"Montgomery County","05000US17135",46862.0
2015,"Morgan County","05000US17137",47783.0
2015,"Moultrie County","05000US17139",49910.0
2015,"Ogle County","05000US17141",55420.0
2015,"Peoria County, IL","05000US17143",56363.0
2015,"Perry County","05000US17145",43366.0
2015,"Piatt County","05000US17147",66763.0
2015,"Pike County","05000US17149",40865.0
2015,"Pope County","05000US17151",38851.0
2015,"Pulaski County","05000US17153",35236.0
2015,"Putnam County","05000US17155",55776.0
2015,"Randolph County","05000US17157",50465.0
2015,"Richland County","05000US17159",44340.0
2015,"Rock Island County, IL","05000US17161",50760.0
2015,"St. Clair County, IL","05000US17163",61682.0
2015,"Saline County","05000US17165",39217.0
2015,"Sangamon County, IL","05000US17167",61044.0
2015,"Schuyler County","05000US17169",47482.0
2015,"Scott County","05000US17171",47118.0
2015,"Shelby County","05000US17173",48071.0
2015,"Stark County","05000US17175",50321.0
2015,"Stephenson County","05000US17177",47191.0
2015,"Tazewell County, IL","05000US17179",58688.0
2015,"Union County","05000US17181",44158.0
2015,"Vermilion County","05000US17183",46159.0
2015,"Wabash County","05000US17185",46933.0
2015,"Warren County","05000US17187",44519.0
2015,"Washington County","05000US17189",53370.0
2015,"Wayne County","05000US17191",45230.0
2015,"White County","05000US17193",44295.0
2015,"Whiteside County","05000US17195",47739.0
2015,"Will County, IL","05000US17197",79701.0
2015,"Williamson County","05000US17199",44983.0
2015,"Winnebago County, IL","05000US17201",51923.0
2015,"Woodford County","05000US17203",65909.0
2013,"Adams County","05000US17001",45542.0
2013,"Alexander County","05000US17003",33348.0
2013,"Bond County","05000US17005",48958.0
2013,"Boone County","05000US17007",61182.0
2013,"Brown County","05000US17009",42083.0
2013,"Bureau County","05000US17011",48983.0
2013,"Calhoun County","05000US17013",50549.0
2013,"Carroll County","05000US17015",48339.0
2013,"Cass County","05000US17017",46975.0
2013,"Champaign County, IL","05000US17019",51788.0
2013,"Christian County","05000US17021",45405.0
2013,"Clark County","05000US17023",47125.0
2013,"Clay County","05000US17025",40618.0
2013,"Clinton County","05000US17027",62669.0
2013,"Coles County","05000US17029",37717.0
2013,"Cook County, IL","05000US17031",64674.0
2013,"Crawford County","05000US17033",47067.0
2013,"Cumberland County","05000US17035",44340.0
2013,"DeKalb County, IL","05000US17037",57072.0
2013,"De Witt County","05000US17039",51240.0
2013,"Douglas County","05000US17041",53026.0
